epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5255,2.92633,19.29,0.00204,0.82829,0.38253,0.36615,0.16157,2.48509,8.88758,0.00251,0.000552802,0.000552802,0.000552802
2,69.5589,2.49808,12.6549,0.00167,0.8909,0.3991,0.4452,0.21969,2.17226,7.00777,0.0022,0.0010536,0.0010536,0.0010536
3,99.5369,2.44662,10.6676,0.00162,0.90984,0.41074,0.57837,0.27025,2.13387,5.98541,0.00214,0.00149939,0.00149939,0.00149939
4,129.3,2.38966,9.60169,0.00155,0.65533,0.58376,0.64726,0.31001,2.11011,5.28557,0.00211,0.00141945,0.00141945,0.00141945
5,158.888,2.28344,8.64335,0.00154,0.77968,0.6381,0.70065,0.33691,2.12285,5.07322,0.00213,0.00133693,0.00133693,0.00133693
6,188.546,2.31772,7.68825,0.00152,0.78119,0.67414,0.71601,0.35272,2.06793,4.21773,0.00206,0.00125442,0.00125442,0.00125442
7,218.27,2.26428,7.19165,0.00147,0.82128,0.68538,0.73545,0.34452,2.16583,3.57539,0.00216,0.0011719,0.0011719,0.0011719
8,247.779,2.25658,6.65293,0.00152,0.86937,0.66955,0.74187,0.35497,2.0387,3.37449,0.00203,0.00108938,0.00108938,0.00108938
9,276.703,2.23665,6.02012,0.00146,0.83999,0.65829,0.75886,0.37972,2.03703,3.3999,0.00202,0.00100687,0.00100687,0.00100687
10,303.232,2.28369,5.66862,0.00151,0.82441,0.66662,0.76104,0.38669,2.03627,3.08792,0.00203,0.000924352,0.000924352,0.000924352
11,338.324,2.30027,6.33439,0.0016,0.79363,0.7107,0.76996,0.37386,2.11387,2.96431,0.00211,0.000841835,0.000841835,0.000841835
12,364.434,2.18632,6.02825,0.00153,0.75854,0.71677,0.77628,0.37861,2.08723,3.03819,0.00208,0.000759318,0.000759318,0.000759318
13,394.765,2.2283,5.54053,0.00151,0.79159,0.71947,0.77857,0.3829,2.05644,2.98407,0.00203,0.000676802,0.000676802,0.000676802
14,424.635,2.19278,5.23271,0.00153,0.85175,0.68291,0.77255,0.38359,2.11982,2.91459,0.00215,0.000594286,0.000594286,0.000594286
15,453.618,2.18972,5.00861,0.0015,0.81168,0.7308,0.79457,0.39162,1.98306,3.05161,0.00195,0.000511769,0.000511769,0.000511769
16,482.395,2.15002,4.82247,0.00149,0.834,0.7211,0.78993,0.38751,2.0315,2.82709,0.002,0.000429253,0.000429253,0.000429253
17,511.314,2.14591,4.57919,0.00147,0.86078,0.7139,0.78552,0.40182,1.98787,2.79663,0.00197,0.000346736,0.000346736,0.000346736
18,540.429,2.11978,4.49984,0.00146,0.86031,0.73998,0.79737,0.39558,2.01567,2.75182,0.002,0.00026422,0.00026422,0.00026422
19,569.43,2.11581,4.38113,0.0015,0.8588,0.72507,0.79062,0.40472,1.98584,2.72759,0.00197,0.000181703,0.000181703,0.000181703
20,598.563,2.10652,4.28278,0.00146,0.87415,0.74786,0.80201,0.4053,1.99924,2.67757,0.00199,9.91865e-05,9.91865e-05,9.91865e-05
